"chapter","sadness","joy","anger","disgust","surprise","trust","fear","anticipation","status__code","status__msg","status__credits","status__remaining_credits"
"1","13","12","11","10","7","7","3","2","","","",""
"2","9","14","","5","2","9","1","8","","","",""
"3","5","22","12","11","","15","1","7","","","",""
"4","10","24","14","17","10","15","7","7","","","",""
"5","10","39","12","6","6","44","2","7","","","",""
"6","4","24","1","4","2","30","4","4","","","",""
"7","","1","4","","1","6","1","2","","","",""
"8","5","3","4","5","2","7","1","2","","","",""
"9","9","43","6","2","1","21","5","6","","","",""
"10","10","43","15","12","4","17","9","","","","",""
"11","14","31","7","5","3","30","9","8","","","",""
"12","8","24","9","4","2","24","8","5","","","",""
"13","4","23","3","3","","13","5","2","","","",""
"14","15","40","18","11","9","18","5","7","","","",""
"15","13","20","3","5","3","16","1","5","","","",""
"16","6","21","2","4","3","9","1","1","","","",""
"17","4","22","1","","1","27","2","5","","","",""
"18","9","23","10","8","5","21","6","6","","","",""
"19","19","35","13","11","7","33","4","7","","","",""
"20","5","39","1","1","2","15","1","3","","","",""
"21","1","11","","","","4","2","2","","","",""
"22","7","22","1","","4","19","3","4","","","",""
"23","12","32","2","5","8","16","4","3","","","",""
"24","6","11","17","14","6","18","8","4","","","",""
"25","9","13","18","11","7","9","11","1","","","",""
"26","4","9","4","2","2","4","2","7","","","",""
"27","8","15","2","1","2","7","1","","","","",""
"28","5","24","7","6","5","12","3","","","","",""
"29","7","11","8","9","9","7","7","1","","","",""
"30","9","16","3","1","","2","5","2","","","",""
"31","5","17","6","1","","7","2","2","","","",""
"32","8","12","7","3","4","8","2","4","","","",""
"33","5","10","3","2","2","15","1","4","","","",""
"34","4","17","5","11","8","22","4","4","","","",""
"35","6","21","8","6","3","34","5","5","","","",""
"36","17","14","10","7","1","16","5","9","","","",""
"37","15","15","17","21","5","14","2","2","","","",""
"38","5","16","6","11","3","12","2","3","","","",""
"39","11","16","8","11","7","13","1","","","","",""
"40","4","30","12","12","4","10","3","7","","","",""
"41","14","30","1","3","7","24","4","4","","","",""
"42","8","4","7","6","5","9","9","10","","","",""
"43","14","20","9","6","2","13","5","9","","","",""
"44","2","2","2","1","","","1","2","","","",""
"45","12","9","3","13","6","7","7","","","","",""
"46","10","9","3","7","1","10","3","2","","","",""
"47","7","24","17","3","1","13","3","14","","","",""
"48","3","44","4","4","1","16","6","8","","","",""
"49","10","9","3","4","7","4","4","","","","",""
"50","9","13","5","5","4","13","8","3","","","",""
"51","10","24","12","10","2","12","","4","","","",""
"52","3","19","10","2","1","13","","6","","","",""
"53","3","10","4","6","","9","7","6","","","",""
"54","3","3","9","5","1","2","","2","","","",""
"55","8","18","16","8","6","17","5","5","","","",""
"56","11","14","10","6","9","13","8","6","","","",""
"57","12","10","10","8","3","13","8","8","","","",""
"58","6","23","6","4","4","13","13","10","","","",""
"59","14","13","2","3","11","10","7","7","","","",""
"60","10","9","6","8","3","23","1","6","","","",""
"61","3","8","1","5","1","12","3","3","","","",""
"62","10","10","8","7","3","10","6","1","","","",""
"63","14","10","4","3","2","3","9","3","","","",""
"64","20","20","6","12","4","17","","5","","","",""
"65","8","15","5","5","2","11","1","2","","","",""
"66","14","29","4","6","4","19","3","6","","","",""
"67","20","28","5","9","4","15","8","7","","","",""
"68","20","34","12","10","2","19","5","8","","","",""
"69","13","32","10","5","","11","4","6","","","",""
"70","8","22","10","2","1","18","","4","","","",""
"71","2","15","5","2","1","9","4","4","","","",""
"72","12","10","10","5","3","17","1","8","","","",""
"73","7","21","7","4","2","7","3","3","","","",""
"74","7","18","1","1","3","6","2","4","","","",""
"75","5","24","1","1","1","9","4","6","","","",""
"76","15","16","1","5","5","13","8","11","","","",""
"77","10","36","7","6","5","14","4","6","","","",""
"78","6","10","3","1","4","5","5","4","","","",""
"79","17","16","12","11","4","10","5","","","","",""
"80","1","6","1","","3","14","3","5","","","",""
"81","13","20","5","2","4","16","2","2","","","",""
"82","26","7","14","8","4","33","16","15","","","",""
"83","11","7","9","4","1","20","","6","","","",""
"84","11","13","10","10","10","9","12","7","","","",""
"85","19","17","15","13","3","11","6","","","","",""
"86","6","18","9","8","2","6","1","9","","","",""
"87","15","32","1","7","4","11","2","6","","","",""
"88","2","8","6","4","","9","1","8","","","",""
"89","5","21","3","1","1","17","3","11","","","",""
"90","9","35","2","1","4","25","1","10","","","",""
"91","19","24","7","5","7","12","3","9","","","",""
"92","5","8","9","4","1","12","4","13","","","",""
"93","9","14","9","7","5","16","","5","","","",""
"94","2","13","3","5","2","9","1","4","","","",""
"95","7","29","8","8","2","19","5","6","","","",""
"96","9","18","12","12","5","24","3","13","","","",""
"97","5","11","9","5","5","23","5","8","","","",""
"98","3","8","6","2","2","13","","10","","","",""
"99","7","4","6","3","1","9","3","8","","","",""
"100","16","22","9","7","6","12","7","3","","","",""
"101","8","10","10","4","6","10","5","4","","","",""
"102","6","13","9","5","3","6","4","6","","","",""
"103","6","1","2","4","5","4","6","4","","","",""
"104","13","26","19","13","10","21","7","9","","","",""
"105","15","2","12","7","3","7","11","8","","","",""
"106","13","17","14","5","3","26","2","8","","","",""
"107","7","19","5","3","4","19","2","3","","","",""
"108","2","18","1","7","1","8","1","4","","","",""
"109","9","20","4","5","1","18","1","8","","","",""
"110","11","34","3","3","5","12","6","10","","","",""
"111","11","6","11","3","3","18","1","11","","","",""
"112","3","12","1","4","","7","1","2","","","",""
"113","13","8","19","7","2","14","8","1","","","",""
"114","6","29","5","4","4","11","8","3","","","",""
"115","10","49","6","2","4","28","5","3","","","",""
"116","2","27","4","3","4","20","4","9","","","",""
"117","12","31","6","11","2","16","6","5","","","",""
"118","22","20","12","7","10","21","12","16","","","",""
"119","17","8","15","12","6","10","3","6","","","",""
"120","19","20","12","4","4","20","9","10","","","",""
"121","8","8","9","2","2","4","4","6","","","",""
"122","10","15","7","5","3","13","7","4","","","",""
"123","14","21","10","4","7","20","6","5","","","",""
"124","11","12","3","6","1","13","4","2","","","",""
"125","7","30","8","5","3","28","15","22","","","",""
"126","25","60","8","6","5","37","7","8","","","",""
"127","7","3","4","4","2","3","4","11","","","",""
"128","12","27","4","4","2","21","14","13","","","",""
"129","6","14","1","4","1","15","5","5","","","",""
"130","1","26","1","","","5","2","5","","","",""
"131","13","33","10","2","2","18","5","11","","","",""
"132","11","35","2","3","3","21","7","12","","","",""
"133","5","12","6","5","1","7","3","7","","","",""
"134","4","9","8","4","3","1","1","1","","","",""
"135","14","20","11","7","4","16","3","6","","","",""
"136","8","16","4","3","4","2","3","4","","","",""
"137","8","20","13","6","5","11","1","2","","","",""
"138","12","42","16","8","12","29","1","11","","","",""
"139","9","21","7","5","4","11","1","8","","","",""
"140","22","8","11","7","5","11","2","1","","","",""
"141","11","10","6","20","5","7","13","17","","","",""
"142","16","5","12","24","1","13","6","6","","","",""
"143","10","8","3","5","","11","","6","","","",""
"144","34","23","21","29","7","25","9","15","","","",""
"145","15","7","4","8","2","14","3","12","","","",""
"146","11","21","7","8","1","32","4","8","","","",""
"147","6","19","4","5","2","18","2","7","","","",""
"148","7","22","5","2","2","17","5","9","","","",""
"149","6","9","5","7","3","20","3","6","","","",""
"150","11","14","1","1","5","16","","3","","","",""
"151","14","21","9","1","7","19","2","","","","",""
"152","12","9","6","8","2","10","3","9","","","",""
"153","18","15","11","5","5","15","4","4","","","",""
"154","7","15","2","2","3","13","8","5","","","",""
"155","9","18","3","2","2","16","2","9","","","",""
"156","8","9","4","","5","4","3","3","","","",""
"157","17","29","23","14","9","18","3","10","","","",""
"158","2","13","2","","2","15","1","6","","","",""
"159","9","38","9","7","4","15","2","6","","","",""
"160","3","35","1","6","","17","","","","","",""
"161","","23","2","1","","14","1","","","","",""
"162","5","15","4","1","5","9","3","2","","","",""
"163","11","22","10","4","6","20","5","5","","","",""
"164","20","32","12","9","4","15","11","8","","","",""
"165","16","23","8","5","1","5","4","6","","","",""
"166","10","11","5","4","3","5","5","3","","","",""
"167","10","12","3","2","4","5","3","8","","","",""
"168","15","29","18","11","","17","2","9","","","",""
"169","","8","5","3","1","6","3","3","","","",""
"170","9","24","2","4","","7","","3","","","",""
"171","24","18","11","13","1","13","8","4","","","",""
"172","22","13","10","13","6","6","15","8","","","",""
"173","22","34","12","11","3","16","12","8","","","",""
"174","3","19","5","1","4","10","","3","","","",""
"175","4","33","","2","4","20","5","4","","","",""
"176","6","22","1","6","5","13","3","5","","","",""
"177","13","27","4","6","3","23","2","11","","","",""
"178","13","28","4","6","5","11","","3","","","",""
"179","16","37","7","5","3","18","3","17","","","",""
"180","10","20","6","6","5","18","6","1","","","",""
"181","14","16","7","6","3","7","","4","","","",""
"182","1","8","1","","4","8","5","6","","","",""
"183","5","9","8","5","3","22","7","13","","","",""
"184","2","","2","","1","7","2","1","","","",""
"185","10","8","21","6","5","12","6","7","","","",""
"186","4","8","6","","1","12","2","10","","","",""
"187","13","14","9","4","4","12","7","5","","","",""
"188","9","23","6","","4","16","2","9","","","",""
"189","15","20","10","3","2","11","12","9","","","",""
"190","6","28","4","3","2","14","6","7","","","",""
"191","7","5","6","9","2","13","4","8","","","",""
"192","","16","1","","3","10","","4","","","",""
"193","2","15","3","1","4","13","","2","","","",""
"194","6","6","1","1","4","4","1","1","","","",""
"195","7","3","5","2","3","1","","3","","","",""
"196","2","24","3","2","2","9","2","5","","","",""
"197","3","12","3","","","11","4","5","","","",""
"198","3","11","4","2","3","7","2","5","","","",""
"199","5","35","10","3","4","23","1","5","","","",""
"200","11","7","3","2","","4","1","3","","","",""
"201","19","16","12","3","4","11","9","2","","","",""
"202","6","21","4","3","4","12","8","5","","","",""
"203","14","11","2","1","14","38","8","13","","","",""
"204","11","12","3","8","12","14","9","3","","","",""
"205","","","","","","","","","202","Engine internal error","0","8435"
"206","7","8","1","6","3","20","1","3","","","",""
"207","16","5","2","5","3","3","1","9","","","",""
"208","20","10","5","3","2","10","3","4","","","",""
"209","10","19","4","2","2","15","3","4","","","",""
"210","12","14","3","8","1","13","4","7","","","",""
"211","6","4","2","6","4","1","","1","","","",""
"212","6","22","20","14","4","22","3","4","","","",""
"213","","","","","","","","","202","Engine internal error","0","8355"
"214","9","14","12","5","4","14","3","2","","","",""
"215","10","20","14","10","5","15","14","5","","","",""
"216","2","6","2","","1","3","6","4","","","",""
"217","21","19","12","15","1","10","2","3","","","",""
"218","","14","15","9","1","3","6","6","","","",""
"219","14","30","16","9","2","19","3","4","","","",""
"220","13","8","13","16","3","7","15","10","","","",""
"221","5","9","5","6","2","10","4","9","","","",""
"222","9","9","1","1","2","9","1","2","","","",""
"223","7","8","1","6","","12","","2","","","",""
"224","5","2","2","5","","3","2","3","","","",""
"225","10","13","5","2","1","7","3","5","","","",""
"226","8","20","2","1","","12","4","2","","","",""
"227","8","10","4","3","2","7","7","4","","","",""
"228","8","10","1","1","2","11","3","7","","","",""
"229","4","8","4","5","2","4","12","5","","","",""
"230","13","7","2","3","1","7","3","3","","","",""
"231","10","1","9","1","1","9","","7","","","",""
"232","3","10","9","1","8","9","7","2","","","",""
"233","9","11","8","5","1","5","3","1","","","",""
"234","5","19","7","3","1","9","10","7","","","",""
"235","3","5","6","8","","8","3","3","","","",""
"236","10","4","4","2","2","16","3","4","","","",""
"237","9","2","3","3","6","3","4","2","","","",""
"238","11","21","","5","4","10","3","5","","","",""
"239","4","7","2","","5","6","4","5","","","",""
